"","Date","Block","Before","After","EC","Stress"
"1",2017-07-19,"C",1.94,1.83,3.06,2.1
"2",2017-07-20,"C",2.5,2.41,3.07,1.1
"3",2017-07-22,"C",2.94,2.59,2.99,0.7
"4",2017-07-23,"C",2.98,2.84,3.02,0.3
"5",2017-07-24,"C",3.02,2.94,2.99,0.1
"6",2017-07-25,"C",3.04,2.9,3.01,0.2
"7",2017-07-26,"C",3.06,2.91,3.06,0.3
"8",2017-07-27,"C",3.14,2.91,3.2,0.5
"9",2017-07-29,"C",3.16,3.02,3.27,0.5
"10",2017-07-30,"C",3.28,3.28,3.28,0
"11",2017-07-31,"C",3.37,3.31,3.31,0
"12",2017-08-01,"C",3.35,3.29,3.29,0
"13",2017-08-02,"C",3.31,3.31,3.31,0
"14",2017-08-03,"C",3.39,2.96,3.3,0.8
"15",2017-08-04,"C",3.32,3.13,3.33,0.4
"16",2017-08-06,"C",3.28,2.65,3.46,1.5
"17",2017-08-07,"C",3.48,3.48,3.48,0
"18",2017-08-08,"C",3.43,3.34,3.54,0.4
"19",2017-08-09,"C",3.61,3.53,3.53,0
"20",2017-08-11,"C",3.75,3.62,3.62,0
"21",2017-08-12,"C",3.96,3.53,3.6,0.1
"22",2017-08-13,"C",3.73,3.59,3.66,0.2
"23",2017-08-15,"C",4.63,2.72,3.95,2.8
"24",2017-08-16,"C",3.89,3.8,3.8,0
"25",2017-08-17,"C",3.98,3.98,3.98,0
"26",2017-08-19,"C",4.84,3.81,4.1,0.4
"27",2017-08-20,"C",4.49,3.83,4.1,0.4
"28",2017-08-22,"C",5.26,2.23,3.8,5.4
"29",2017-08-23,"C",4.18,4.09,4.09,0
"30",2017-08-24,"C",4.2,4.2,4.2,0
"31",2017-08-26,"C",5.61,3.56,4.34,2.2
"32",2017-08-27,"C",4.24,4.24,4.33,0.3
"33",2017-08-29,"C",5.52,3.43,4.83,4.9
"34",2017-08-30,"C",5.01,4.85,4.85,0
"35",2017-08-31,"C",4.9,4.9,4.9,0
"36",2017-09-01,"C",4.94,4.8,4.8,0
"37",2017-09-02,"C",4.83,4.58,4.62,0.1
"38",2017-09-03,"C",4.84,4.64,4.71,0.2
"39",2017-09-04,"C",5.01,4.51,4.71,1
"40",2017-09-06,"C",5.64,4.28,5.2,3.4
"41",2017-09-07,"C",5.41,5.31,5.31,0
"42",2017-09-08,"C",5.47,5.41,5.41,0
"43",2017-09-09,"C",5.12,5.12,5.12,0
"44",2017-09-10,"C",5.23,5.11,5.11,0
"45",2017-09-13,"C",5.31,5.14,5.3,0.7
"46",2017-09-14,"C",5.44,5.15,5.33,0.6
"47",2017-09-16,"C",6.3,4.37,5.86,4.7
"48",2017-09-17,"C",5.41,5.41,5.58,0.8
"49",2017-09-18,"C",5.8,5.31,5.73,1.8
"50",2017-06-01,"D",3.01,3.01,3.01,0
"51",2017-06-03,"D",3.06,3.05,3.05,0
"52",2017-06-04,"D",3.08,3.07,3.12,0.4
"53",2017-06-06,"D",3.19,3.19,3.19,0
"54",2017-06-07,"D",3.24,2.33,3.45,11
"55",2017-06-08,"D",3.32,3.23,3.32,0.9
"56",2017-06-10,"D",3.31,2.72,3.59,8.5
"57",2017-06-11,"D",3.55,3.44,3.44,0
"58",2017-06-12,"D",3.44,3.3,3.58,2.5
"59",2017-06-13,"D",3.53,3.42,3.53,1
"60",2017-06-14,"D",3.55,3.41,3.67,2.4
"61",2017-06-15,"D",3.65,3.47,3.8,2.9
"62",2017-06-16,"D",3.7,3.49,3.91,3.9
"63",2017-06-20,"D",4.36,2.56,4.3,18
"64",2017-06-21,"D",4.52,4.31,4.31,0
"65",2017-06-22,"D",4.33,4.24,4.42,2
"66",2017-06-23,"D",4.54,4.54,4.54,0
"67",2017-06-24,"D",4.91,3.52,4.5,14
"68",2017-06-25,"D",4.68,4.54,4.7,2
"69",2017-06-27,"D",5.07,3.73,5.13,13.4
"70",2017-06-28,"D",4.98,4.81,4.81,0
"71",2017-06-29,"D",4.91,4.54,4.96,3.8
"72",2017-06-30,"D",4.93,4.58,5.14,5.3
"73",2017-07-01,"D",5.15,4.68,4.98,4.3
"74",2017-07-02,"D",5.11,4.74,5.15,6
"75",2017-07-04,"D",5.67,3.87,5.67,20
"76",2017-07-05,"D",5.57,5.48,5.48,0
"77",2017-07-06,"D",5.54,5.3,5.3,0
"78",2017-07-07,"D",5.49,5.01,5.43,3.6
"79",2017-07-09,"D",6.12,3.66,5.68,16
"80",2017-07-10,"D",5.63,5.46,5.46,0
"81",2017-07-11,"D",5.56,5.19,5.63,3.9
"82",2017-07-12,"D",5.53,5.11,5.65,4.9
"83",2017-07-13,"D",5.66,5.39,5.55,1.4
"84",2017-07-15,"D",5.38,4.43,5.63,12
"85",2017-07-16,"D",5.73,5.35,5.61,3.1
"86",2017-07-17,"D",5.67,5.33,5.61,3.3
"87",2017-07-18,"D",5.94,5.46,5.61,1.8
"88",2017-07-19,"D",5.64,5.31,5.73,4.9
"89",2017-07-20,"D",5.94,5.22,5.75,6
"90",2017-07-22,"D",6.93,4.45,5.9,16
"91",2017-07-23,"D",5.92,5.56,5.78,3
"92",2017-07-24,"D",5.96,5.69,5.89,2.6
"93",2017-07-25,"D",6.1,5.61,5.98,4.9
"94",2017-08-17,"F",1.61,1.61,3.14,16
"95",2017-08-19,"F",1.68,1.68,3.2,16
"96",2017-08-20,"F",2.27,2.27,3.45,10
"97",2017-08-22,"F",1.72,1.72,2.93,16
"98",2017-08-23,"F",1.9,1.9,2.92,13
"99",2017-08-24,"F",1.98,1.98,3.15,16
"100",2017-08-26,"F",1.87,1.87,3.31,19
"101",2017-08-27,"F",2.26,2.26,3.25,14.3
"102",2017-08-29,"F",2.04,2.04,3.64,18
"103",2017-08-30,"F",2.56,2.56,3.31,10.5
"104",2017-08-31,"F",2.5,2.5,3.49,11.3
"105",2017-09-01,"F",2.56,2.56,3.6,11.8
"106",2017-09-02,"F",2.68,2.68,3.58,10.3
"107",2017-09-03,"F",2.64,2.64,3.73,12
"108",2017-09-04,"F",2.76,2.76,3.44,11.7
"109",2017-09-06,"F",2.64,2.64,4.16,19.3
"110",2017-09-07,"F",3.01,3.01,4.22,13
"111",2017-09-08,"F",3.06,3.06,4.15,11
"112",2017-09-09,"F",3.1,3.1,4.03,8.9
"113",2017-09-10,"F",3.09,3.09,4.12,10
"114",2017-09-13,"F",2.77,0.84,4.21,40
"115",2017-09-14,"F",3.04,3.04,4.22,14.5
"116",2017-09-16,"F",2.9,2.9,4.43,17
"117",2017-09-17,"F",3.16,3.16,4.03,14
"118",2017-09-18,"F",3.03,3.03,4.54,22.8
"119",2017-09-19,"F",3.3,3.3,4.77,20
"120",2017-09-20,"F",3.53,3.53,4.9,16
"121",2017-09-21,"F",3.68,3.68,4.83,11.5
"122",2017-09-22,"F",4.46,4.36,4.84,4.3
"123",2017-09-24,"F",4.95,4.42,4.97,4.8
"124",2017-09-26,"F",5.1,4.21,4.84,8.6
"125",2017-09-27,"F",4.96,4.85,4.91,0.7
"126",2017-09-28,"F",4.91,4.75,5.03,3.6
"127",2017-09-29,"F",4.84,4.68,5.04,4.6
"128",2017-10-01,"F",5.44,4.48,5.28,8.9
"129",2017-10-02,"F",5.16,5.02,5.14,1.1
"130",2017-10-03,"F",4.91,4.77,5.32,6.1
"131",2017-10-04,"F",5.21,5.01,5.24,2.7
"132",2017-10-05,"F",5.24,5.2,5.31,1.4
"133",2017-10-06,"F",5.37,5.17,5.24,0.5
"134",2017-10-07,"F",5.14,5,5.41,5
"135",2017-10-08,"F",5.36,5.26,5.52,3.4
"136",2017-10-10,"F",5.76,5.12,5.54,5.4
"137",2017-10-11,"F",5.6,5.4,5.51,1.4
"138",2017-10-12,"F",5.76,5.35,5.54,3.6
"139",2017-10-14,"F",5.91,5.45,5.58,2.5
"140",2017-10-15,"F",5.64,5.48,5.68,3.7
"141",2017-10-16,"F",5.61,5.56,5.68,2.3
"142",2017-10-17,"F",5.46,5.4,5.78,6.7
"143",2017-10-18,"F",5.52,5.48,5.84,6.3
"144",2017-10-19,"F",5.83,5.76,5.89,2.3
"145",2017-10-21,"F",6.03,5.75,6.01,4.2
"146",2017-10-22,"F",5.75,5.64,6.02,6
"147",2017-10-23,"F",5.72,5.67,6.04,5.5
