Gender,n_gender,Race,n_race,Area,n_area,n_occupation,n_wage,q1,n_q1,SJ,SO,CS,q3,n_q3,sushi,teppanyaki,ramen,takoyaki,q5,n_q5,q6,q7,q8,q9,q10,q11,q12
Female,1,Malay,1,Urban,0,2,1,Yes,0,1,0,1,Yes,0,1,0,1,1,Yes,0,3,4,3,4,5,4,1
Female,1,Chinese,2,Rural,1,6,0,Yes,0,1,0,1,Yes,0,1,1,1,1,Yes,0,3,2,4,4,4,4,1
Male,0,Malay,1,Urban,0,4,0,Yes,0,0,1,0,Yes,0,0,0,1,0,No,1,3,3,4,3,5,2,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,1,Yes,0,1,0,0,0,No,1,2,2,4,3,4,2,5
Male,0,Malay,1,Urban,0,1,3,Yes,0,1,0,0,Yes,0,1,1,0,0,No,1,3,4,4,4,4,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,2,3,4,4,3,5,5
Female,1,Malay,1,Urban,0,2,1,Yes,0,1,1,0,Yes,0,1,0,0,1,No,1,3,3,3,3,5,3,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,1,1,Yes,0,5,4,5,5,3,5,2
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,2,2,4,3,5,3,5
Female,1,Malay,1,Urban,0,2,0,Yes,0,1,1,0,Yes,0,1,0,1,1,No,1,3,3,4,3,4,3,5
Male,0,Malay,1,Rural,1,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,3,3,3,3,3,3,3
Male,0,Indian,3,Urban,0,4,3,Yes,0,1,0,1,Yes,0,1,0,1,1,Yes,0,3,4,5,5,5,5,1
Female,1,Malay,1,Urban,0,2,3,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,5,5,5,5,5,5,5
Male,0,Malay,1,Rural,1,3,3,Yes,0,0,1,0,Yes,0,1,1,1,1,No,1,3,2,4,4,4,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,5,5,5,5,5,3,5
Female,1,Malay,1,Urban,0,0,3,Yes,0,1,0,0,Yes,0,1,1,1,1,Yes,0,3,3,5,5,4,5,5
Male,0,Malay,1,Urban,0,2,2,Yes,0,1,0,0,Yes,0,0,0,0,1,No,1,3,4,5,5,4,4,5
Female,1,Malay,1,Urban,0,0,1,Yes,0,1,0,0,Yes,0,1,1,0,1,Yes,0,5,3,4,3,3,3,5
Female,1,Malay,1,Rural,1,2,3,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,4,4,5,5,4,4,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,3,3,4,4,3,4,5
Male,0,Malay,1,Urban,0,1,2,Yes,0,1,0,0,Yes,0,1,0,0,1,Yes,0,4,5,5,5,4,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,1,1,Yes,0,5,5,4,5,5,5,5
Female,1,Malay,1,Urban,0,4,2,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,3,3,4,4,4,4,5
Female,1,Indian,3,Urban,0,4,3,Yes,0,1,0,0,Yes,0,0,0,0,1,Yes,0,3,2,5,5,4,2,2
Male,0,Malay,1,Urban,0,1,3,Yes,0,1,1,1,Yes,0,1,0,1,0,Yes,0,2,2,4,4,5,2,5
Female,1,Malay,1,Rural,1,2,3,Yes,0,1,1,0,Yes,0,1,0,1,1,Yes,0,5,5,3,4,3,5,4
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,1,1,Yes,0,3,5,3,3,5,2,4
Male,0,Chinese,2,Urban,0,4,3,Yes,0,1,1,0,Yes,0,1,1,1,1,Yes,0,3,3,4,4,4,4,3
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,0,1,1,No,1,4,5,5,5,3,4,2
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,2,2,4,5,5,4,1
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,1,1,1,No,1,4,2,3,4,3,4,2
Female,1,Malay,1,Rural,1,2,1,Yes,0,1,0,0,Yes,0,0,0,0,1,No,1,4,3,5,5,5,5,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,4,3,3,3,3,4,4
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,1,0,Yes,0,4,4,5,5,4,4,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,Yes,0,3,3,4,4,4,3,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,3,3,4,3,4,5,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,0,No,1,1,1,0,1,No,1,5,3,3,2,5,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,1,1,No,1,0,0,0,0,No,1,3,3,4,4,3,3,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,1,1,No,1,3,3,4,3,4,4,3
Male,0,Malay,1,Rural,1,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,3,2,5,5,4,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,0,1,Yes,0,3,4,4,4,4,5,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,0,Yes,0,1,1,0,0,Yes,0,3,4,4,3,5,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,3,3,4,3,2,3,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,0,0,0,0,No,1,4,3,4,4,3,4,4
Female,1,Others,0,Rural,1,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,4,4,4,4,5,4,5
Female,1,Indian,3,Rural,1,4,0,Yes,0,0,1,0,Yes,0,0,1,0,0,No,1,3,3,4,4,4,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,1,1,1,Yes,0,5,5,5,5,4,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,0,1,No,1,3,4,5,3,2,4,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,0,0,0,1,Yes,0,5,4,5,5,3,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,1,1,No,1,3,3,4,3,5,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,1,0,Yes,0,1,0,0,1,No,1,3,4,3,1,3,3,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,3,3,3,3,3,4,5
Male,0,Malay,1,Urban,0,0,0,Yes,0,0,0,0,Yes,0,1,0,0,0,Yes,0,5,5,5,5,3,4,5
Female,1,Chinese,2,Urban,0,0,3,Yes,0,1,0,0,Yes,0,0,0,0,0,Yes,0,4,3,4,4,4,5,4
Female,1,Chinese,2,Urban,0,2,3,Yes,0,1,1,1,Yes,0,1,0,1,1,Yes,0,4,4,5,5,4,5,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,1,0,0,Yes,0,3,2,3,4,5,2,4
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,0,Yes,0,1,0,0,1,No,1,3,3,4,4,3,4,5
Female,1,Malay,1,Rural,1,0,2,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,3,3,4,4,3,3,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,1,0,1,No,1,5,5,5,5,4,5,1
Male,0,Malay,1,Urban,0,2,0,No,1,0,0,0,Yes,0,1,0,0,0,No,1,3,3,4,4,3,3,5
Female,1,Malay,1,Urban,0,6,0,Yes,0,1,1,0,Yes,0,1,1,0,1,No,1,3,4,4,4,5,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,1,1,1,Yes,0,4,4,5,5,3,5,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,1,1,Yes,0,4,4,4,4,3,4,1
Female,1,Malay,1,Urban,0,2,0,Yes,0,1,1,1,Yes,0,1,1,0,1,No,1,5,3,4,3,5,4,5
Female,1,Malay,1,Urban,0,2,0,Yes,0,1,0,0,Yes,0,1,1,1,0,No,1,3,4,3,2,5,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,0,0,1,No,1,4,4,4,4,5,4,5
Male,0,Malay,1,Urban,0,1,2,Yes,0,1,0,1,Yes,0,1,0,0,0,Yes,0,3,4,5,5,4,5,5
Male,0,Malay,1,Urban,0,2,0,Yes,0,0,0,0,No,1,0,0,0,1,No,1,4,3,3,3,5,4,5
Female,1,Others,0,Urban,0,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,4,4,4,4,3,4,2
Female,1,Chinese,2,Rural,1,4,0,Yes,0,1,0,0,Yes,0,1,0,0,1,No,1,3,4,4,4,4,4,4
Female,1,Chinese,2,Urban,0,2,3,Yes,0,1,0,0,Yes,0,1,0,1,0,Yes,0,5,5,5,4,5,5,1
Female,1,Others,0,Rural,1,6,0,Yes,0,0,1,0,No,1,0,0,0,1,No,1,3,2,4,2,3,1,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,0,1,No,1,0,0,0,0,No,1,1,1,3,3,3,1,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,0,1,Yes,0,1,0,0,1,No,1,5,5,3,3,3,4,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,3,1,4,4,3,2,5
Female,1,Others,0,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,1,0,1,No,1,3,3,4,4,3,4,5
Male,0,Malay,1,Urban,0,2,3,Yes,0,0,1,0,Yes,0,1,1,1,1,No,1,3,2,3,4,2,4,4
Female,1,Malay,1,Urban,0,0,2,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,5,4,4,4,4,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,1,0,Yes,0,0,0,1,1,No,1,4,4,5,5,4,4,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,No,1,1,0,0,0,No,1,3,2,3,1,1,3,1
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,No,1,1,0,0,0,No,1,3,2,3,1,1,3,1
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,0,1,No,1,0,0,0,0,No,1,3,2,2,2,3,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,0,1,No,1,4,4,4,4,4,4,4
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,0,0,No,1,3,3,4,4,4,4,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,0,0,1,No,1,4,4,5,5,4,4,5
Male,0,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,4,3,4,3,4,3,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,2,2,5,3,4,2,5
Female,1,Malay,1,Urban,0,2,0,Yes,0,1,0,0,No,1,0,0,0,0,No,1,1,1,1,1,3,1,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,4,3,4,2,3,3,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,No,1,0,0,0,0,No,1,2,2,5,5,4,3,5
Male,0,Malay,1,Rural,1,4,0,Yes,0,0,0,0,Yes,0,0,0,0,1,No,1,3,4,4,4,4,4,5
Female,1,Chinese,2,Urban,0,4,0,Yes,0,1,0,0,Yes,0,0,1,0,0,Yes,0,4,4,4,4,4,3,3
Female,1,Malay,1,Urban,0,4,2,No,1,0,0,0,No,1,0,0,0,0,No,1,1,1,3,3,3,1,5
Male,0,Malay,1,Rural,1,4,0,Yes,0,1,1,0,Yes,0,1,0,1,1,No,1,3,3,4,3,3,3,5
Female,1,Malay,1,Urban,0,4,0,No,1,1,0,0,Yes,0,1,0,0,1,No,1,3,4,4,4,4,3,5
Female,1,Malay,1,Rural,1,4,0,No,1,0,0,0,No,1,0,0,0,0,No,1,2,3,3,3,4,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,1,Yes,0,1,1,0,1,No,1,4,3,4,4,4,4,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,1,1,0,Yes,0,1,0,0,0,No,1,3,3,3,2,4,3,5
Male,0,Others,0,Urban,0,2,3,Yes,0,1,1,0,Yes,0,1,0,1,0,No,1,2,2,4,3,4,4,1
Male,0,Malay,1,Rural,1,3,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,3,3,3,4,4,3,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,1,1,No,1,4,4,3,3,2,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,3,3,4,4,3,3,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,0,0,0,0,No,1,2,2,4,4,4,2,5
Female,1,Indian,3,Urban,0,4,0,Yes,0,1,1,1,Yes,0,0,0,1,1,Yes,0,3,3,4,4,4,2,1
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,0,Yes,0,1,1,1,1,No,1,4,4,4,4,5,5,5
Female,1,Malay,1,Rural,1,2,0,Yes,0,0,1,0,Yes,0,1,0,0,0,No,1,3,3,3,3,4,3,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,1,0,Yes,0,1,0,1,1,No,1,2,2,3,3,4,1,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,0,0,1,Yes,0,3,4,4,3,4,5,5
Male,0,Malay,1,Urban,0,3,3,Yes,0,1,0,0,Yes,0,1,0,0,0,Yes,0,2,3,4,3,5,2,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,0,0,1,Yes,0,3,3,5,5,3,3,5
Male,0,Chinese,2,Rural,1,4,0,Yes,0,1,0,0,Yes,0,1,0,0,0,No,1,4,4,5,5,5,4,4
Female,1,Indian,3,Urban,0,4,0,Yes,0,1,0,1,Yes,0,1,0,1,1,Yes,0,3,3,4,4,4,4,1
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,Yes,0,1,0,1,1,No,1,3,3,5,4,4,5,5
Male,0,Malay,1,Urban,0,1,3,Yes,0,1,0,1,Yes,0,1,0,1,1,Yes,0,3,3,5,5,4,5,5
Female,1,Malay,1,Urban,0,4,0,Yes,0,0,1,0,No,1,0,0,0,0,No,1,4,3,5,4,4,3,5
Female,1,Malay,1,Rural,1,4,0,Yes,0,0,1,0,Yes,0,1,0,0,0,Yes,0,3,4,4,4,4,4,5
