,date,Block,EC_Before,EC_After,EC,EC_Stress,PH_Before,PH_After,NO3,NO3_Supply,Cation,sweetness,Total,mean_temp,GDD,mean_Hum,mean_CO2,Cum_GDD,Cum_mean_CO2,Cum_harvest,predicted,residuals
63,2017/09/18,C,5.8,5.31,5.73,1.8,6.8,6.1,200,4,390,0,5.7,26.55,16.55,80,503,1181.1,27441,5.7,21.3,4
64,2017/09/18,C,5.8,5.31,5.73,1.8,6.8,6.1,200,4,390,0,5.7,26.55,16.55,80,503,1181.1,27944,11.4,21.7,3.6
66,2017/09/20,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.8,25.5,15.5,73,495,1211.85,28907,24.2,21.7,-9.3
68,2017/09/22,C,6.1,5.48,5.98,1.4,6.7,6.3,170,4,360,0,18.2,19.6,9.6,90,479,1236.4,29861.5,42.4,18.4,-14.5
71,2017/09/25,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.8,24.55,14.55,71.5,485,1280,31324,65.2,21.2,35.4
73,2017/09/27,C,6.37,6.37,6.37,0,6.9,6.4,170,3,470,0,14.5,26.15,16.15,76,480,1311.95,32332,79.7,19,19.5
75,2017/09/29,C,6.49,6.31,6.31,0,6.7,6.3,180,2,420,8,14.8,22.45,12.45,69,413,1335.5,33223,94.5,23.1,-18.9
78,2017/10/02,C,6.65,6.56,6.56,0,6.9,6.3,150,3,470,0,11.2,22.2,12.2,94.5,555.5,1373.15,34646.5,105.7,23.3,-16.3
80,2017/10/04,C,6.64,6.41,6.65,0.4,6.7,6.3,170,3,450,7,7.5,21.2,11.2,71.5,453,1399.25,35684,113.2,21.3,4
82,2017/10/06,C,6.74,6.61,6.61,0,6.8,6.3,160,3,470,0,4.6,20.05,10.05,92,488.5,1420.95,36665,117.8,21.7,3.6
84,2017/10/08,C,6.94,6.8,6.8,0,6.6,6.3,180,3,460,0,4.7,25.45,15.45,76,585.5,1450.1,37795,122.5,21.7,-9.3
87,2017/10/11,C,7.05,6.94,6.94,0,6.8,6.3,140,3,490,0,33.7,25.75,15.75,74,570,1496.55,39504.5,156.2,18.4,-14.5
89,2017/10/13,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.1,22.05,12.05,83.5,495,1522.5,40546.5,180.3,21.2,35.4
92,2017/10/16,C,7.27,7.19,7.19,0,6.6,6.4,130,2,490,5,31.3,20.25,10.25,98,518.5,1557.5,42104.5,211.6,19,19.5
94,2017/10/18,C,7.37,7.26,7.32,0.2,6.6,6.2,140,2,470,0,15,22.55,12.55,77.5,495.5,1579.85,43100,226.6,23.1,-18.9
96,2017/10/20,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9.8,22.5,12.5,92.5,504,1603.7,44040,236.4,23.3,-16.3
99,2017/10/23,C,7.55,7.55,7.55,0,6.7,6.2,120,1,520,7,5.9,21.05,11.05,77,540,1634.6,45801,242.3,21.3,4
100,2017/10/24,C,7.61,7.23,7.55,1.4,6.5,6.3,110,2,480,7.5,7.2,20.85,10.85,85,513.5,1645.45,46314.5,249.5,21.7,3.6
103,2017/10/27,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11.3,24.8,14.8,69.5,521.5,1685.05,47851.5,260.8,21.7,-9.3
106,2017/10/30,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.6,19.75,9.75,80,501,1715.95,49386.5,278.4,18.4,-14.5
107,2017/10/31,C,8.07,6.11,7.52,5.3,6.7,6.3,82,1,480,0,12.7,20.9,10.9,66.5,461.5,1726.85,49848,291.1,21.2,35.4
109,2017/11/02,C,7.73,6.19,7.45,5,6.7,6.3,95,1,550,0,25.9,19.4,9.4,77,487,1747.3,50816,317,19,19.5
113,2017/11/06,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28.3,16.0639992,6.0639992,109.1272403,611.6028172,1774.197054,53022.26797,345.3,23.1,-18.9
116,2017/11/09,C,8.03,8.03,8.03,0,6.7,6.2,93,1,770,8,29.7,17.35099641,7.35099641,101.5222153,739.5394122,1794.487142,55122.58101,375,23.3,-16.3
117,2017/11/10,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,20.9,18.14416732,8.144167318,95.98466803,765.1899635,1802.63131,55887.77097,395.9,21.3,4
120,2017/11/13,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25.2,20.67764773,10.67764773,78.33297272,729.3026111,1832.191182,58156.54274,421.1,21.7,3.6
122,2017/11/15,C,8.03,8.03,8.03,0,6.7,6.2,95,0,790,9,22.9,20.85,10.85,72.5,559,1854.391182,59380.54274,444,21.7,-9.3
124,2017/11/17,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,24.6,18.95,8.95,69,444,1871.391182,60253.04274,468.6,18.4,-14.5
127,2017/11/20,C,8.87,8.17,8.17,0,6.5,6.3,80,0,840,9,13.4,15.8,5.8,93.5,420.5,1890.591182,61610.04274,482,21.2,35.4
129,2017/11/22,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18.7,15.95,5.95,89.5,437,1904.291182,62469.54274,500.7,19,19.5
131,2017/11/24,C,8.28,8.28,8.28,0,6.6,6.3,72,0,810,7.8,12.7,17.7,7.7,70,468,1920.341182,63452.04274,513.4,23.1,-18.9
134,2017/11/27,C,8.51,8.41,8.41,0,6.5,6.2,77,0,840,10,12.7,20.2,10.2,72.5,545,1946.091182,64929.04274,526.1,23.3,-16.3